m2_price,square,rooms,micro_district,district,floor,floors,Day,Month,Year,building_type,Construction_year,condition,price
720,154,4,83,1,12,14,4,2,2023,1,2023,1,110880
740,77,2,83,1,5,12,4,2,2023,1,2023,1,57000
750,77,2,83,1,5,12,4,2,2023,2,2023,1,57750
740,77,2,83,1,5,12,4,2,2023,1,2023,1,57000
1279,43,1,22,2,1,12,4,2,2023,1,2013,2,55000
1276,76,2,60,3,10,12,4,2,2023,1,2013,3,97000
1455,110,3,104,3,3,3,4,2,2023,1,2015,3,160000
880,181,4,83,1,9,14,4,2,2023,2,2020,1,158990
1283,53,1,83,1,7,9,4,2,2023,2,2019,3,68000
1198,48,2,24,4,8,10,4,2,2023,1,2019,3,57500
1364,44,1,83,1,8,12,4,2,2023,2,2021,3,60000
1383,30,1,8,1,4,4,4,2,2023,3,2021,2,41500
1198,48,2,24,4,8,10,4,2,2023,1,2021,2,57500
1123,65,3,75,1,4,12,4,2,2023,2,2020,2,73000
810,160,4,29,1,4,16,4,2,2023,1,2020,1,129600
790,158,4,83,1,7,14,4,2,2023,2,2021,1,124820
810,104,3,83,1,3,16,4,2,2023,1,2021,1,84240
963,81,3,51,5,1,9,4,2,2023,3,2021,3,78000
1244,90,3,36,3,13,13,4,2,2023,2,2020,3,112000
1244,90,3,36,3,13,13,4,2,2023,2,2020,3,112000
978,67,2,15,1,3,9,4,2,2023,2,2019,3,65500
1062,48,1,83,1,7,9,4,2,2023,2,2022,3,51000
869,84,2,83,1,4,5,4,2,2023,1,2022,2,73000
978,67,2,15,1,3,8,4,2,2023,2,2017,3,65500
1167,33,1,37,4,4,9,4,2,2023,3,2017,2,38500
958,96,3,87,5,10,12,4,2,2023,2,2017,2,92000
909,99,3,34,5,1,9,4,2,2023,3,2017,3,90000
1370,46,1,67,3,6,9,4,2,2023,2,2021,3,63000
1123,65,3,75,1,4,12,4,2,2023,2,2020,3,73000
951,45,1,75,1,8,9,4,2,2023,3,2020,2,42800
1250,86,3,83,1,6,8,4,2,2023,2,2021,1,107500
1093,43,2,6,1,4,4,4,2,2023,3,2021,2,47000
1093,43,2,6,1,4,4,4,2,2023,3,2021,2,47000
1300,30,1,100,3,4,4,4,2,2023,1,2021,3,39000
856,41,1,49,5,14,14,4,2,2023,2,2023,3,35500
1093,43,2,6,1,4,4,4,2,2023,3,2023,3,47000
843,89,3,83,1,7,12,4,2,2023,2,2022,1,75000
784,74,2,83,1,8,9,4,2,2023,2,2022,1,58000
1111,45,1,65,5,12,12,4,2,2023,2,2020,3,50000
